municipality,tot_pob,high,professionals,europeans,nse_municip,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,Banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total
43048,993,7.780392578599891,382.1486220472443,851,3.31353919239905,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43049,978,5.66066291671334,261.9086078639744,886,3.50642673521851,1.0,0.0,0.0,0.0,,,,,,
43050,3981,133.5811934076827,1129.3668199551719,3399,4.082277531070961,204.0,12.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
43051,14622,114.78139729505884,4504.846906531484,12329,3.7432486426810523,1630.0,145.0,0.0,25.0,1.0,0.0,1.0,1.0,0.0,3.0
43052,1150,7.77444020625839,349.91452991453,1077,3.4400826446281,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
43053,232,5.67673469387755,73.86122448979576,203,3.84,7.0,0.0,0.0,1.0,,,,,,
43054,3698,74.86378479512511,1246.9900518747313,3314,3.851248223827436,204.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43055,2740,62.50057008471646,934.4486651835372,2408,4.050777575451438,264.0,6.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,2.0
43056,891,6.62918862504111,406.2051009564292,863,3.45780051150895,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43057,39,0.0,11.7,36,3.625,41.0,3.0,0.0,0.0,,,,,,
43058,123,1.16098707403055,56.51351351351336,108,3.69565217391304,27.0,1.0,0.0,1.0,,,,,,
43059,332,3.48160511363636,90.2625,318,3.65151515151515,45.0,1.0,1.0,0.0,,,,,,
43060,3426,88.3973238625756,1006.9432018131615,3101,4.037688572602678,207.0,6.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0
43061,48,0.0,24.558139534883722,45,3.16666666666667,20.0,0.0,0.0,0.0,,,,,,
43062,388,1.26160140030937,128.95953757225442,356,3.32394366197183,7.0,0.0,0.0,0.0,,,,,,
43063,700,9.094898578559711,260.4651162790699,609,3.43046357615894,17.0,0.0,0.0,1.0,,,,,,
43064,3100,9.764686646161131,983.1929196159363,2468,3.3636725196182296,284.0,2.0,10.0,10.0,1.0,0.0,1.0,0.0,0.0,2.0
43065,527,3.38532110091743,145.0,478,3.61467889908257,11.0,0.0,0.0,0.0,,,,,,
43066,196,2.32620320855615,66.03208556149744,190,3.76315789473684,9.0,0.0,0.0,0.0,,,,,,
43067,790,4.59519341986891,322.0849933598938,687,3.41935483870968,18.0,0.0,0.0,0.0,,,,,,
43068,609,3.51327731092437,266.90086956521725,551,3.19327731092437,14.0,0.0,1.0,2.0,,,,,,
43069,236,1.16566306596185,106.14847161572047,218,3.28421052631579,76.0,3.0,1.0,4.0,,,,,,
43070,279,4.67507507507508,115.73333333333332,274,3.78378378378378,7.0,1.0,0.0,0.0,,,,,,
43071,1154,7.8783234849526,435.8885987815498,1015,3.15368421052632,37.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
43072,104,1.11512319456245,18.467289719626162,102,3.4772727272727306,76.0,3.0,1.0,4.0,,,,,,
43073,96,0.0,45.12,92,3.39024390243902,13.0,0.0,0.0,0.0,,,,,,
