municipality,tot_pob,high,professionals,europeans,NumCompanies_10S,NumNewCompanies_10S,NumCompanies_ML_10S,NumCompanies_HP_10S,banks_BBVA,banks_Bankinter,banks_CaixaBank,banks_Sabadell,banks_Santander,banks_total,municipality_name,high_ratio,professionals_ratio,europeans_ratio,growth_rate_10S,companies_size_ratio_10S,companies_profit_ratio_10S,branch_density_per_1000,competitor,high_score,high_ratio_score,professionals_score,professionals_ratio_score,europeans_score,europeans_ratio_score,NumNewCompanies_10S_score,growth_rate_10S_score,NumCompanies_ML_10S_score,companies_size_ratio_10S_score,NumCompanies_HP_10S_score,companies_profit_ratio_10S_score,competitor_score
08274,5921,74.84942890949533,1564.602557288471,5396,488.0,8.0,8.0,16.0,1.0,0.0,1.0,1.0,0.0,3.0,Súria,0.012641349250041433,0.26424633630948674,0.9113325451781794,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.5066711704104037,97.0,5.194248987754261,11.227644946497929,12.041375798797507,3.8272491024153448,15.745809036543863,63.4555687821214,0.4966630451652957,13.934426229508198,1.401664476565922,17.330210772833723,1.4988290398126463,22.95081967213115,57.14285714285714
08275,329,14.059071729957804,185.3227848101265,322,94.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,Tavèrnoles,0.04273274082054044,0.5632911392405061,0.9787234042553191,0.0425531914893617,0.02127659574468085,0.0851063829787234,0.0,100.0,0.9208982896223612,48.02934957778047,1.0727417228336416,100.0,0.630785614811174,98.60415039558602,0.24833152258264785,36.17021276595745,0.3504161191414805,22.49240121580547,0.7494145199063231,59.57446808510638,100.0
08276,340,26.657775660871646,153.6842105263158,312,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tagamanent,0.07840522253197543,0.45201238390092885,0.9176470588235294,0.0,0.0,0.0,0.0,100.0,1.8065433612530677,91.65671497673097,0.8211379866454718,65.19331645860991,0.600996447641815,66.7489857418142,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08277,219,20.379485014774172,100.99514563106794,216,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Talamanca,0.09305700919988207,0.4611650485436892,0.9863013698630136,0.0,0.0,0.0,0.0,100.0,1.365201362943399,100.0,0.4021315717233961,68.18460823985042,0.31502044281596997,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08278,6699,83.22719359885136,2713.3850677056034,6181,844.0,16.0,12.0,36.0,1.0,0.0,1.0,0.0,0.0,2.0,Taradell,0.01242382349587272,0.4050433001501125,0.922675026123302,0.018957345971563982,0.014218009478672985,0.04265402843601896,0.2985520226899537,98.0,5.783176709930817,10.96161143535708,21.176995156856727,49.8427885325872,18.08425865933853,69.37138767296628,0.9933260903305914,16.113744075829388,2.102496714848883,15.030467163168584,3.3723653395784545,29.857819905213272,71.42857142857143
08279,224114,4697.329280596462,62539.54022883587,193492,113496.0,7039.0,2556.0,4689.0,10.0,2.0,12.0,9.0,4.0,37.0,Terrassa,0.0209595530872523,0.2790523583035235,0.8633641807294502,0.06201980686544019,0.022520617466694863,0.041314231338549376,0.1650945500950409,63.0,100.0,21.400789646789995,100.0,8.666182203570786,100.0,38.43704259356738,100.0,52.71683583562417,100.0,23.80750989336314,100.0,28.919961936984567,0.0
08280,116,9.93243243243244,63.74774774774776,109,67.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Tavertet,0.08562441752096932,0.5495495495495496,0.9396551724137931,0.07462686567164178,0.029850746268656716,0.04477611940298507,0.0,100.0,0.6308098982852813,100.0,0.10592402499060682,97.07060393259074,0.0,78.22760446368461,0.31041440322830977,63.43283582089552,0.3504161191414805,31.556503198294237,0.2810304449648712,31.343283582089555,100.0
08281,6635,332.920605355819,3140.1286314523577,6189,777.0,33.0,3.0,48.0,1.0,0.0,1.0,1.0,0.0,3.0,Teià,0.050176428840364586,0.473267314461546,0.9327807083647325,0.04247104247104247,0.003861003861003861,0.06177606177606178,0.452147701582517,97.0,23.335755193706248,57.132963388101906,24.570646023352268,72.13989448570963,18.10808999307402,74.64213806681532,2.0487350613068447,36.1003861003861,0.5256241787122208,4.081632653061225,4.496487119437939,43.24324324324324,57.14285714285714
08282,9110,886.2009687700204,3789.8831155850935,8755,1114.0,104.0,3.0,44.0,1.0,0.0,1.0,1.0,0.0,3.0,Tiana,0.0972778231361164,0.4160135143342583,0.9610318331503842,0.0933572710951526,0.0026929982046678637,0.03949730700179533,0.32930845225027444,97.0,62.22944058982708,100.0,29.737776954927313,53.42809541405802,25.751990288731502,89.37688071290653,6.456619587148844,79.35368043087972,0.5256241787122208,2.84688381636317,4.121779859484778,27.648114901256733,57.14285714285714
08283,8368,84.52987896609591,2880.4094848481245,7638,1048.0,44.0,36.0,64.0,1.0,0.0,1.0,0.0,0.0,2.0,Tona,0.010101562973959836,0.34421719465202255,0.9127629063097514,0.04198473282442748,0.03435114503816794,0.061068702290076333,0.2390057361376673,98.0,5.874750960878541,8.12149200770946,22.505246139683507,29.963481624382847,22.42454031591412,64.2015922882506,2.7316467484091262,35.68702290076336,6.307490144546649,36.31406761177753,5.995316159250585,42.74809160305343,71.42857142857143
08284,18022,114.05055914951222,5552.020098814925,16427,2793.0,168.0,21.0,49.0,1.0,0.0,2.0,1.0,1.0,5.0,Tordera,0.006328407454750429,0.30806903222810594,0.9114970591499278,0.06015037593984962,0.007518796992481203,0.017543859649122806,0.27743868605038285,95.0,7.949952113234896,3.5069312413681573,43.75105848521552,18.149468395881406,48.60623934106362,63.54137319004468,10.42992394847121,51.127819548872175,3.679369250985545,7.9484425349087,4.590163934426229,12.280701754385964,28.57142857142857
08285,14726,208.12137453018204,4753.0048096720975,12615,3040.0,64.0,120.0,216.0,1.0,0.0,1.0,1.0,1.0,4.0,Torelló,0.014132919633993076,0.32276278756431465,0.856648105391824,0.021052631578947368,0.039473684210526314,0.07105263157894737,0.2716284123319299,96.0,14.562803282928922,13.051832192154336,37.39694055890065,22.951710288085582,37.25060881610403,34.93418589520533,3.9733043613223655,17.894736842105264,21.02496714848883,41.72932330827067,20.234192037470727,49.73684210526316,42.857142857142854
